구코드,구항목명,신코드,신항목명
,,236,안전관리 및 검사원
,,239,기타 공학 전문가 및 관련 종사자
234,"제도 기술종사자, 캐드 포함",239,기타 공학 전문가 및 관련 종사자
235,광학 및 전자장비 기술종사자 ,224,통신 및 방송송출 장비 기사
,,245,치료사 및 의료기사
,,283,연극․영화 및 영상 전문가
,,284,화가․사진가 및 공연예술가
236,선박․항공기 조종사 및 기술종사자,237,항공기․선박 기관사 및 관제사
237,안전 및 품질검사 종사자,231,건축 및 토목 공학 기술자 및 시험원
,,232,화학공학 기술자 및 시험원
,,233,금속․재료 공학 기술자 및 시험원
,,234,환경공학 기술자 및 시험원
,,235,전기․전자 및 기계 공학 기술자 및 시험원
,,236,안전관리 및 검사원
,,239,기타 공학 전문가 및 관련 종사자
238,기타 공학관련 기술종사자,231,건축 및 토목 공학 기술자 및 시험원
,,233,금속․재료 공학 기술자 및 시험원
,,234,환경공학 기술자 및 시험원
,,239,기타 공학 전문가 및 관련 종사자
24 ,보건의료 준전문가,,
241,의료진료 준전문가,243,간호사
,,246,보건의료관련 종사자
242,의료 기술종사자,245,치료사 및 의료기사
,,246,보건의료관련 종사자
243,안마사 및 전통의료 치료사,245,치료사 및 의료기사
,,246,보건의료관련 종사자
25 ,교육 준전문가,,
251,대학교육 조교 및 초․중등학교 보조교사,259,기타 교육 전문가
252,정규교육이외 교육 준전문가,254,문리․기술 및 예능 강사
253,기타 교육 준전문가,254,문리․기술 및 예능 강사
,,259,기타 교육 전문가
26 ,경영 및 재정 준전문가,,
261,금융․보험 준전문가,272,금융 및 보험 전문가
,,510,영업종사자
262,판매 준전문가,273,상품기획․홍보 및 조사 전문가
,,274,기술영업 및 중개 관련 종사자
,,510,영업종사자
263,상품중개 및 사업서비스대리 종사자,247,사회복지관련 종사자
,,271,인사 및 경영 전문가
,,273,상품기획․홍보 및 조사 전문가
,,274,기술영업 및 중개 관련 종사자
,,289,매니저 및 기타 문화․예술 관련 종사자
,,312,경영관련 사무원
,,510,영업종사자
27 ,사회서비스 및 종교 준전문가 ,,
271,사회서비스 준전문가,247,사회복지관련 종사자
272,종교 준전문가,248,종교관련 종사자
28 ,"예술, 연예 및 경기 준전문가",,
281,예술 및 연예관련 준전문가,283,연극․영화 및 영상 전문가
,,284,화가․사진가 및 공연예술가
,,289,매니저 및 기타 문화․예술 관련 종사자
282,"운동, 경기 및 체력관련 준전문가   ",286,스포츠 및 레크레이션 관련 전문가 
283,"기타 예술, 연예 및 경기 준전문가 ",289,매니저 및 기타 문화․예술 관련 종사자
29 ,기타 준전문가,,
291,관리 준전문가,120,행정 및 경영지원 관리자
,,262,행정 전문가
,,314,비서 및 사무 보조원
,,399,고객 상담 및 기타 사무원
292,"법률, 의료 및 관련 사업 준전문가 ",246,보건의료관련 종사자
,,261,법률 전문가
,,320,금융 및 보험 관련 사무 종사자
,,330,법률 및 감사 사무 종사자
293,"관세, 조세 및 관련 정부 준전문가",247,사회복지관련 종사자
,,311,행정 사무원
3 ,사무 종사자,,
31 ,일반사무 관련 종사자,,
311,일반사무 종사자,312,경영관련 사무원
312,기획 및 홍보사무 종사자,312,경영관련 사무원
313,정부행정 사무 종사자,311,행정 사무원
314,판매 관련사무 종사자,312,경영관련 사무원
,,522,상품 대여 종사자
315,계수사무 종사자,313,회계 및 경리 사무원
,,320,금융 및 보험 관련 사무 종사자
,,391,통계관련 사무원
316,"자재, 생산 및 운송관련 사무 종사자",283,연극․영화 및 영상 전문가
,,312,경영관련 사무원
317,사무 지원 종사자,314,비서 및 사무 보조원
318,"도서, 우편 및 관련 사무 종사자",311,행정 사무원
,,391,통계관련 사무원
,,399,고객 상담 및 기타 사무원
32 ,고객서비스 사무 종사자,,
321,대금수납 및 금전출납 사무 종사자,320,금융 및 보험 관련 사무 종사자
,,521,매장 판매 종사자
322,안내 및 접수 사무 종사자,392,여행․안내 및 접수 사무원
,,521,매장 판매 종사자
323,고객 관련 사무 종사자,399,고객 상담 및 기타 사무원
4 ,서비스 종사자,,
41 ,대인 서비스 관련 종사자,,
411,개인보호 및 관련 종사자,314,비서 및 사무 보조원
,,421,의료․복지 관련 서비스 종사자
,,429,기타 이미용․예식 및 의료보조 서비스 종사자
,,951,가사 및 육아 도우미
412,이․미용 및 관련 서비스 종사자 ,422,이․미용 및 관련 서비스 종사자
413,시중서비스 종사자,429,기타 이미용․예식 및 의료보조 서비스 종사자
,,432,여가 및 스포츠 관련 종사자
414,장의 및 관련 서비스 종사자 ,423,혼례 및 장례 종사자
415,오락 및 여가서비스 종사자,286,스포츠 및 레크레이션 관련 전문가 
,,399,고객 상담 및 기타 사무원
,,432,여가 및 스포츠 관련 종사자
,,442,음식서비스 종사자
,,522,상품 대여 종사자
416,기타 대인 서비스 관련 종사자,423,혼례 및 장례 종사자
,,429,기타 이미용․예식 및 의료보조 서비스 종사자
42 ,조리 및 음식 서비스 종사자,,
421,음식 조리 종사자,441,주방장 및 조리사
,,952,음식관련 단순 종사원
422,음식 서비스 관련 종사자,442,음식서비스 종사자
43 ,여행 및 운송관련 종사자,,
431,운송수행 종사자,431,운송 서비스 종사자
432,여행안내 종사자,432,여가 및 스포츠 관련 종사자
44 ,보안 서비스 종사자,,
441,경찰 종사자,411,경찰․소방 및 교도 관련 종사자
442,소방 및 응급구조 종사자,246,보건의료관련 종사자
,,411,경찰․소방 및 교도 관련 종사자
443,교도 및 보도 종사자,411,경찰․소방 및 교도 관련 종사자
444,기타 보안서비스 종사자,246,보건의료관련 종사자
,,412,경호 및 보안 관련 종사자
5 ,판매 종사자,,
51 ,도소매 판매 종사자,,
511,도매 판매 종사자,274,기술영업 및 중개 관련 종사자
,,510,영업종사자
,,521,매장 판매 종사자
512,소매업체 판매 종사자,521,매장 판매 종사자
,,953,판매관련 단순 종사원
513,소매 방문판매 및 이동판매 종사자,510,영업종사자
,,530,방문․노점 및 통신 판매 관련 종사자
52 ,통신 판매 종사자,,
521,전화통신 판매 종사자,530,방문․노점 및 통신 판매 관련 종사자
522,통신서비스 및 통신 재판매 종사자 ,530,방문․노점 및 통신 판매 관련 종사자
53 ,모델 및 홍보 종사자,,
530,모델 및 홍보 종사자,283,연극․영화 및 영상 전문가
,,530,방문․노점 및 통신 판매 관련 종사자
6 ,"농업, 임업 및 어업 숙련 종사자",,
61 ,농업 숙련 종사자,,
611,전답작물 재배 종사자,611,작물재배 종사자
,,620,임업관련 종사자
612,과수작물 재배 종사자,611,작물재배 종사자
613,"정원사, 육묘 및 버섯 재배 종사자 ",611,작물재배 종사자
,,612,원예 및 조경 종사자
614,복합 및 시설작물 재배 종사자,611,작물재배 종사자
,,612,원예 및 조경 종사자
615,동물사육 및 관련 종사자,613,축산 및 사육 관련 종사자
616,작물 및 동물 복합 생산자,611,작물재배 종사자
,,612,원예 및 조경 종사자
,,613,축산 및 사육 관련 종사자
617,자급농업 종사자,611,작물재배 종사자
618,수렵업 종사자,613,축산 및 사육 관련 종사자
62 ,임업 숙련 종사자,,
620,임업 숙련 종사자,620,임업관련 종사자
,,991,농림어업관련 단순 종사원
63 ,어업 숙련 종사자,,
630,어업 숙련 종사자,630,어업관련 종사자
7,기능원 및 관련 기능 종사자,,
71,추출 및 건설 기능 종사자,,
711,"광원, 발파원, 석재 절단 및 조각 종사자",772,건설관련 기능 종사자
,,774,채굴 및 토목 관련 기능 종사자
712,건물 골조 및 관련 기능 종사자 ,771,건설구조관련 기능 종사자
,,772,건설관련 기능 종사자
,,773,건축마감관련 기능 종사자
713,건물 완성 및 관련 기능 종사자 ,283,연극․영화 및 영상 전문가
,,730,목재․가구․악기 및 간판 관련 기능 종사자
,,762,전기공
,,773,건축마감관련 기능 종사자
,,792,배관공
714,"건물 도장, 청결 및 관련 기능 종사자",773,건축마감관련 기능 종사자
,,799,기타 기능관련 종사자
72,"금속, 기계 및 관련 기능 종사자 ",,
721,"금속주형, 용접 및 관련 기능 종사자",741,금형․주조 및 단조원
,,743,용접원
,,771,건설구조관련 기능 종사자
,,773,건축마감관련 기능 종사자
,,774,채굴 및 토목 관련 기능 종사자
,,841,주조 및 금속 가공관련 기계조작원
722,"대장원, 공구제조원 및 관련 기능 종사자",741,금형․주조 및 단조원
,,799,기타 기능관련 종사자
,,841,주조 및 금속 가공관련 기계조작원
,,842,도장 및 도금기 조작원
,,854,운송차량 및 기계 관련 조립원
73,기계설치 및 정비 기능 종사자,,
731,운송기계 정비 종사자,751,자동차 정비원
,,752,운송장비 정비원
,,753,기계장비 설치 및 정비원
732,농․공업용 기계설치 및 정비 종사자,753,기계장비 설치 및 정비원
733,"전기, 전자장비 설치 및 정비 종사자",751,자동차 정비원
,,753,기계장비 설치 및 정비원
,,761,전기 및 전자기기 설치 및 수리원
,,762,전기공
,,780,영상 및 통신 장비 관련 설치 및 수리원
74,"정밀기구, 세공 및 수공예 기능 종사자",,
741,금속 및 관련재료 세공 종사자,245,치료사 및 의료기사
,,730,목재․가구․악기 및 간판 관련 기능 종사자
,,761,전기 및 전자기기 설치 및 수리원
,,791,공예 및 귀금속 세공원
,,843,비금속 제품 생산기 조작원
,,864,전기․전자 부품 및 제품 조립원
742,"도공, 유리가공 및 관련 기능 종사자",730,목재․가구․악기 및 간판 관련 기능 종사자
,,791,공예 및 귀금속 세공원
,,799,기타 기능관련 종사자
,,842,도장 및 도금기 조작원
,,843,비금속 제품 생산기 조작원
743,"목재, 섬유, 가죽 및 관련재료 수공예 종사자",721,섬유 및 가죽 관련 기능 종사자
,,722,의복 제조관련 기능 종사자
,,791,공예 및 귀금속 세공원
744,인쇄 및 관련 기능 종사자,721,섬유 및 가죽 관련 기능 종사자
,,799,기타 기능관련 종사자
,,821,섬유제조 및 가공 기계조작원
,,892,인쇄 및 사진현상 관련 기계조작원
75,기타 기능원 및 관련 기능 종사자,,
751,식품가공 및 관련 기능 종사자,710,식품가공관련 기능 종사자
,,811,식품가공관련 기계조작원
752,"목재처리, 가구제조 및 관련 기능 종사자",730,목재․가구․악기 및 간판 관련 기능 종사자
,,741,금형․주조 및 단조원
,,791,공예 및 귀금속 세공원
,,842,도장 및 도금기 조작원
,,891,목재 및 종이 관련 기계조작원
753,"섬유, 의복제조 및 관련 기능 종사자",721,섬유 및 가죽 관련 기능 종사자
,,722,의복 제조관련 기능 종사자
754,"펠트, 가죽신발 제조관련 기능 종사자",721,섬유 및 가죽 관련 기능 종사자
,,722,의복 제조관련 기능 종사자
,,822,직물 및 신발 관련 기계조작원 및 조립원
8,"장치, 기계조작 및 조립 종사자",,
81,고정기계장치 및 시스템 조작 종사자,,
811,채광 및 광물가공장치 조작 종사자,842,도장 및 도금기 조작원
,,843,비금속 제품 생산기 조작원
,,875,건설 및 채굴 기계운전원
812,금속 가공장치 조작 종사자,841,주조 및 금속 가공관련 기계조작원
813,"유리 가공장치, 도기로 및 관련장치 조작 종사자",843,비금속 제품 생산기 조작원
814,목재가공 및 제지장치 조작 종사자,891,목재 및 종이 관련 기계조작원
815,화학물 가공장치 조작 종사자,819,기타 식품가공관련 기계조작원
,,821,섬유제조 및 가공 기계조작원
,,831,석유 및 화학물 가공장치 조작원
,,832,화학․고무 및 플라스틱제품 생산기 조작원
,,843,비금속 제품 생산기 조작원
816,동력생산 및 관련장치 조작 종사자,852,냉․난방 관련 설비 조작원
,,861,발전 및 배전 장치 조작원
,,881,상․하수도 처리장치 조작원
,,882,재활용 처리 및 소각로 조작원
,,899,기타 제조관련 기계조작원
817,자동조립라인 및 산업용 로봇 조작 종사자,853,자동조립라인 및 산업용 로봇 조작원
82,기계 조작원 및 관련 종사자,,
821,금속 및 광물제품용 기계 조작 종사자,742,제관원 및 판금원
,,841,주조 및 금속 가공관련 기계조작원
,,843,비금속 제품 생산기 조작원
,,851,금속공작기계 조작원
822,화학제품용 기계 조작 종사자,832,화학․고무 및 플라스틱제품 생산기 조작원
,,842,도장 및 도금기 조작원
,,891,목재 및 종이 관련 기계조작원
,,892,인쇄 및 사진현상 관련 기계조작원
823,고무 및 플라스틱제품용 기계 조작 종사자,832,화학․고무 및 플라스틱제품 생산기 조작원
824,나무제품용 기계 조작 종사자,891,목재 및 종이 관련 기계조작원
825,"인쇄, 제책 및 종이제품용 기계 조작 종사자",891,목재 및 종이 관련 기계조작원
,,892,인쇄 및 사진현상 관련 기계조작원
826,"섬유, 의복 제품용 기계 조작 종사자",821,섬유제조 및 가공 기계조작원
,,822,직물 및 신발 관련 기계조작원 및 조립원
,,823,세탁관련 기계조작원
827,식품 및 관련제품용 기계 조작 종사자,811,식품가공관련 기계조작원
,,819,기타 식품가공관련 기계조작원
828,기호식품 및 음료 제조 기계 조작 종사자,812,음료 제조관련 기계조작원
,,819,기타 식품가공관련 기계조작원
829,기타 기계 조작 종사자,862,전기 및 전자 설비 조작원
,,863,전기․전자 부품 및 제품 제조장치 조작원
,,899,기타 제조관련 기계조작원
83,조립 종사자,,
831,일반기계 조립 종사자,854,운송차량 및 기계 관련 조립원
832,전기 및 전자장비 조립 종사자,862,전기 및 전자 설비 조작원
,,864,전기․전자 부품 및 제품 조립원
833,"금속, 목재 및 기타 제품 조립 종사자 ",822,직물 및 신발 관련 기계조작원 및 조립원
,,832,화학․고무 및 플라스틱제품 생산기 조작원
,,855,금속기계부품 조립원
,,891,목재 및 종이 관련 기계조작원
84,운전원 및 관련 종사자,,
841,철도 기관사 및 관련 종사자,871,철도 및 전동차 기관사
,,872,화물열차 차장 및 관련 종사원
842,자동차 운전 종사자,873,자동차 운전원
843,건설 및 기타 이동장치 운전 종사자,874,물품이동 장비 조작원
,,875,건설 및 채굴 기계운전원
844,선박갑판 승무원 및 관련 종사자 ,876,선박 갑판승무원 및 관련 종사원
9,단순 노무 종사자,,
91,서비스 관련 단순노무 종사자,,
911,"가사 및 관련 보조원, 청소 및 세탁 종사자",941,청소원 및 환경 미화원
,,951,가사 및 육아 도우미
,,952,음식관련 단순 종사원
,,999,기타 서비스관련 단순 종사원
912,"건물관리, 경비 및 관련 종사자 ",942,경비원 및 검표원
,,953,판매관련 단순 종사원
,,992,계기검침․수금 및 주차 관련 종사원
913,"배달, 운반 및 검침 관련 종사자 ",922,배달원
,,992,계기검침․수금 및 주차 관련 종사원
914,환경미화 및 관련 종사자,941,청소원 및 환경 미화원
915,기타 서비스 관련 단순 노무 종사자,953,판매관련 단순 종사원
,,992,계기검침․수금 및 주차 관련 종사원
,,999,기타 서비스관련 단순 종사원
92,농림어업 관련 단순 노무 종사자,,
920,농림어업 관련 단순 노무 종사자 ,991,농림어업관련 단순 종사원
93,제조 관련 단순 노무 종사자,,
930,제조 관련 단순 노무 종사자,930,제조관련 단순 종사원
94,"광업, 건설 및 운송 관련 단순 노무 종사자",,
941,광업 및 건설 관련 단순 노무 종사자,774,채굴 및 토목 관련 기능 종사자
,,910,건설 및 광업 단순 종사원
942,운수 관련 단순 노무 종사자,921,하역 및 적재 단순 종사원
,,999,기타 서비스관련 단순 종사원
98,군인,98,군인
981,장교,981,장교
982,기타 군인,982,장기 부사관 및 준위
